,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,creativecost,influencecost,threatcost,myscore
286,0,0,0,,,0,153601,0,0,0,0,0.0,0,0,3,0.5,0.5,0,Carlos,0.0,0,0,0.0,287,False,0.0,0,0,0,0,0,,45,0,0,0,153601.jpg,0.0,0,0,De Pena,0.1,False,16.0,a,12,25,0.0,0,21,21,273,273,0.0,0.0,De Pena,0,0.0,0.0,0.0,0.0
287,0,0,0,,,0,169535,0,0,0,0,0.0,0,0,3,0.5,0.5,0,Julien,0.0,0,0,0.0,288,False,0.0,0,0,0,0,0,,45,0,0,0,169535.jpg,0.0,0,0,de Sart,0.1,False,23.0,a,12,25,0.0,0,14,14,115,115,0.0,0.0,de Sart,0,0.0,0.0,0.0,0.0
288,0,0,0,,,0,123125,0,0,0,0,0.0,0,0,3,1.4,1.4,0,Viktor,0.0,0,0,0.0,289,False,0.0,0,0,0,0,0,,55,0,0,0,123125.jpg,0.0,0,0,Fischer,1.3,False,11.0,a,12,25,0.0,0,117,117,5377,5377,0.0,0.0,Fischer,0,0.0,0.0,0.0,0.0
289,0,0,3,25.0,100.0,0,82428,0,0,0,0,0.1,0,0,3,0.1,0.5,1,Marten,1.0,0,0,0.0,290,False,0.0,0,0,0,0,21,Hamstring injury - 25% chance of playing,45,0,0,0,82428.jpg,1.0,0,0,de Roon,0.2,False,14.0,d,12,25,0.0,1,30,30,862,862,0.2,0.2,de Roon,0,0.0022222222222222222,0.0,0.0,0.0022222222222222222
290,0,0,3,,,0,12744,0,0,0,0,0.8,0,0,4,0.8,0.8,1,David,1.0,0,0,0.1,291,False,0.6,0,0,0,0,3,,50,0,0,0,12744.jpg,1.0,0,0,Nugent,0.8,False,35.0,a,12,25,0.0,1,438,438,2217,2217,0.2,0.2,Nugent,0,0.016,0.012,0.0,0.028
291,0,0,0,,,0,20047,0,0,0,0,0.0,0,0,4,1.3,1.3,0,Jordan,0.0,0,0,0.0,292,False,0.0,0,0,0,0,0,,60,0,0,0,20047.jpg,0.0,0,0,Rhodes,1.1,False,9.0,a,12,25,0.0,0,154,154,5726,5726,0.0,0.0,Rhodes,0,0.0,0.0,0.0,0.0
292,0,0,0,,,0,49464,0,0,0,0,0.0,0,0,4,0.8,0.8,0,Cristhian,0.0,0,0,0.0,293,False,0.0,0,0,0,0,0,,50,0,0,0,49464.jpg,0.0,0,0,Stuani,0.2,False,18.0,a,12,25,0.0,0,91,91,1022,1022,0.0,0.0,Stuani,0,0.0,0.0,0.0,0.0
293,0,0,7,,,0,40383,0,0,0,0,0.0,0,233,1,2.3,3.3,2,Fraser,2.0,1,0,0.2,294,False,2.0,0,0,0,0,90,,50,0,0,0,40383.jpg,2.0,0,0,Forster,5.4,False,1.0,a,13,20,0.0,2,3005,3005,3917,3917,0.4,0.4,Forster,0,0.0,0.04,0.0,0.04
294,0,0,0,0.0,0.0,0,102884,0,0,0,0,0.0,0,15,1,0.0,0.0,0,Paulo,0.0,0,0,0.0,295,False,0.0,0,0,0,0,0,Joined Rayo Vallecano on season-long loan deal,45,0,0,0,102884.jpg,0.0,0,0,Gazzaniga,0.0,False,25.0,u,13,20,0.0,0,1,1,32,32,0.0,0.0,Gazzaniga,0,0.0,0.0,0.0,0.0
295,0,0,0,0.0,0.0,0,40146,0,0,0,0,0.0,0,415,2,0.0,0.0,0,Ryan,0.0,0,0,0.0,296,False,0.0,0,0,0,0,0,Knee injury - Expected back 19 Aug,55,0,0,0,40146.jpg,0.0,0,0,Bertrand,0.8,False,21.0,i,13,20,0.0,0,48,48,2738,2738,0.0,0.0,Bertrand,0,0.0,0.0,0.0,0.0
